Trade Date,Account,Market Sentiment,Daily_PnL,Total_Trades,Average_Trade_Size,Winning_Trades,Long_Trades,Short_Trades,Win Rate (%),Long/Short Ratio,Cluster
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,8493.192736,109,3402.198532110092,97,43,67,88.9908256880734,0.6417910447761194,0
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1320.804256,7,3546.727142857143,3,3,4,42.857142857142854,0.75,1
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,8244.241409,137,3452.370072992701,128,107,30,93.43065693430657,3.566666666666667,0
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1674.715167,24,2510.5745833333335,21,2,22,87.5,0.09090909090909091,0
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-1443.814567,7,420.5385714285714,0,0,7,0.0,0.0,1
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,8361.086245,79,4946.1478481012655,54,60,19,68.35443037974683,3.1578947368421053,0
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,26773.771643,287,5485.087665505226,253,136,151,88.15331010452961,0.9006622516556292,0
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1026.004099,13,290.5161538461538,13,13,0,100.0,,0
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,19791.026041,180,4676.724,163,132,48,90.55555555555556,2.75,0
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,6814.825139,82,3990.4636585365856,72,29,53,87.8048780487805,0.5471698113207547,0
2024-03-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,4271.886236,67,2740.047462686567,59,48,19,88.05970149253731,2.526315789473684,0
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,9949.501624,117,5625.459401709401,97,26,91,82.90598290598291,0.2857142857142857,0
2024-03-10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2482.9272,42,5237.472619047619,29,0,42,69.04761904761905,0.0,0
2024-03-11,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3588.179495,42,4202.844047619047,39,29,13,92.85714285714286,2.230769230769231,0
2024-03-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3039.166,8,12880.10625,7,8,0,87.5,,0
2024-03-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,7,857.2571428571428,0,7,0,0.0,,1
2024-03-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,65.480454,1,6066.28,1,1,0,100.0,,0
2024-03-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3400.385378,17,11756.876470588235,15,17,0,88.23529411764706,,0
2024-03-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,338.42832,8,3292.47625,1,8,0,12.5,,1
2024-03-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,5509.2545,35,7132.707714285714,32,23,12,91.42857142857143,1.9166666666666667,0
2024-03-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,388.830831,19,3995.254210526316,8,8,11,42.10526315789473,0.7272727272727273,1
2024-03-16,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,228.57984,6,4537.276666666667,1,6,0,16.666666666666664,,1
2024-03-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,2,5000.0,0,0,2,0.0,0.0,1
2024-03-17,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,429.683075,14,6218.810714285714,4,14,0,28.57142857142857,,1
2024-03-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,73.61088,7,705.8557142857143,6,0,7,85.71428571428571,0.0,0
2024-03-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,2,3751.305,0,2,0,0.0,,1
2024-03-18,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,12,2833.491666666667,0,12,0,0.0,,1
2024-03-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1244.6384,6,8540.285,5,6,0,83.33333333333334,,0
2024-03-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,212.3193,1,5214.47,1,1,0,100.0,,0
2024-03-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,4,2266.8775,0,4,0,0.0,,1
2024-03-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,842.799493,10,18098.891,5,0,10,50.0,0.0,0
2024-03-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-174.00152,10,2982.842,0,10,0,0.0,,1
2024-03-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2593.147623,59,2446.8210169491526,56,35,24,94.91525423728814,1.4583333333333333,0
2024-03-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,3829.986976,10,7134.341,4,10,0,40.0,,1
2024-03-21,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,1,9744.18,0,1,0,0.0,,1
2024-03-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2097.182,23,4256.877391304348,22,0,23,95.65217391304348,0.0,0
2024-03-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,238.326075,4,2560.8025000000002,1,4,0,25.0,,1
2024-03-24,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,1297.018477,19,4873.274210526315,15,0,19,78.94736842105263,0.0,0
2024-03-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,1302.916428,7,8159.4742857142855,6,6,1,85.71428571428571,6.0,0
2024-03-26,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,20.599193,7,3426.62,1,5,2,14.285714285714285,2.5,1
2024-03-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3195.3074,111,1572.7824324324324,109,111,0,98.1981981981982,,0
2024-03-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,189.192,27,3224.6703703703706,12,18,9,44.44444444444444,2.0,1
2024-03-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,-38.78086,11,1163.5172727272727,0,6,5,0.0,1.2,1
2024-03-28,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,3,6671.296666666666,0,3,0,0.0,,1
2024-03-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,227.85100799999998,10,1530.983,9,0,10,90.0,0.0,0
2024-03-29,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,883.097404,15,5794.291333333333,6,15,0,40.0,,1
2024-03-30,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1100.57514,45,2246.753777777778,44,45,0,97.77777777777777,,0
2024-03-31,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,912.786145,13,3070.2276923076925,10,10,3,76.92307692307693,3.3333333333333335,0
2024-04-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.840939,29,4654.808275862069,2,23,6,6.896551724137931,3.8333333333333335,1
2024-04-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2507.122467,48,4260.021458333334,40,46,3,83.33333333333334,15.333333333333334,0
2024-04-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,883.760812,37,6072.016756756757,12,12,25,32.432432432432435,0.48,1
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,4,3749.9725,0,4,0,0.0,,1
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,126.7884,2,3443.955,1,2,0,50.0,,0
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,2,4999.83,0,2,0,0.0,,1
2024-04-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,0.0,32,2999.6165625,0,0,32,0.0,0.0,1
2024-04-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,4444.4983010000005,10,17253.157,7,3,7,70.0,0.42857142857142855,0
2024-04-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,5296.433789,82,3723.111585365854,75,82,0,91.46341463414635,,0
2024-04-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,965.5522159999999,8,3245.635,8,8,0,100.0,,0
2024-04-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,236.33513399999998,16,4263.979375,4,4,12,25.0,0.3333333333333333,1
2024-04-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,23,2173.397391304348,0,0,23,0.0,0.0,1
2024-04-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,28,5827.370357142857,0,0,28,0.0,0.0,1
2024-04-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1218.4267,2,24387.135,1,0,2,50.0,0.0,0
2024-04-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,3,19021.280000000002,0,0,3,0.0,0.0,1
2024-04-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,5207.443414,41,8578.926097560974,36,6,35,87.8048780487805,0.17142857142857143,0
2024-04-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,389.743164,16,4775.06,2,16,0,12.5,,1
2024-04-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,21,7138.52761904762,0,21,0,0.0,,1
2024-04-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2237.798674,93,2815.611935483871,71,93,0,76.34408602150538,,0
2024-04-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-2830.444513,15,2021.84,0,0,15,0.0,0.0,1
2024-04-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,0.0,18,8677.150000000001,0,18,0,0.0,,1
2024-04-13,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,6621.451755,71,4651.021830985916,61,45,26,85.91549295774648,1.7307692307692308,0
2024-04-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,-36565.98544,64,9199.4678125,3,64,0,4.6875,,1
2024-04-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,461.97292000000004,43,1637.1216279069768,30,16,27,69.76744186046511,0.5925925925925926,0
2024-04-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,0.0,3,16671.31666666667,0,3,0,0.0,,1
2024-04-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,3774.08872,38,6344.664210526315,35,24,14,92.10526315789474,1.7142857142857142,0
2024-04-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,0.0,1,91.08,0,0,0,0.0,,1
2024-04-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2467.702221,46,3952.523695652174,43,14,31,93.47826086956522,0.45161290322580644,0
2024-04-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2441.4683999999997,14,6968.785000000001,13,0,14,92.85714285714286,0.0,0
2024-04-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,1946.4454620000001,35,9635.940571428573,27,32,3,77.14285714285715,10.666666666666666,0
2024-04-20,0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,0.0,20,2436.6825,0,0,0,0.0,,1
2024-04-20,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,0.0,2,5999.795,0,0,2,0.0,0.0,1
2024-04-22,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,0.0,9,5332.623333333333,0,0,9,0.0,0.0,1
2024-04-23,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,759.2148159999999,54,3567.7494444444446,31,34,20,57.407407407407405,1.7,0
2024-04-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,360.32138,12,3366.369166666667,4,3,10,33.33333333333333,0.3,1
2024-04-24,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,279.185907,20,7063.762,6,20,0,30.0,,1
2024-04-25,0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,0.0,68,753.8510294117647,0,0,0,0.0,,1
2024-04-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,0.0,6,11496.523333333333,0,6,0,0.0,,1
